Date,Open,High,Low,Close,Adj Close,Volume
2013-09-26,930.0,948.7999877929688,922.6500244140624,938.1500244140624,898.5618896484375,223333
2013-09-27,936.25,949.0,936.25,945.7000122070312,905.7933349609376,84826
2013-09-30,941.0,941.9500122070312,921.0,929.6500244140624,890.4205932617188,71804
2013-10-01,930.0,935.0,887.5,916.5499877929688,877.8734130859375,143975
2013-10-03,915.0,932.0,905.25,908.5499877929688,870.2111206054688,113369
2013-10-04,904.5,909.0,881.1500244140625,884.0499877929688,846.7449340820312,238872
2013-10-07,881.0499877929688,892.75,864.0,865.2000122070312,828.6903076171875,122928
2013-10-08,866.25,874.4000244140625,848.7000122070312,850.0499877929688,814.1795043945312,350183
2013-10-09,852.25,893.5,852.25,887.7000122070312,850.2409057617188,238621
2013-10-10,885.0,900.0,882.0,896.9000244140625,859.0526733398438,113771
2013-10-11,898.0,900.0,875.0999755859375,885.6500244140625,848.2774047851562,60449
2013-10-14,887.5,899.75,885.2000122070312,888.2000122070312,850.7196655273438,42673
2013-10-15,906.0,906.0,882.0999755859375,888.2000122070312,850.7196655273438,97364
2013-10-17,894.3499755859375,897.4000244140625,882.0999755859375,887.6500244140625,850.1927490234375,190988
2013-10-18,888.5,900.0,885.0,897.0499877929688,859.1961669921875,69289
2013-10-21,892.0,900.0,888.4500122070312,899.5999755859375,861.6386108398438,52500
2013-10-22,898.0,909.9500122070312,891.5999755859375,900.8499755859376,862.8359375,139591
2013-10-23,901.0,903.0,882.4000244140625,890.3499755859375,852.7789306640625,96951
2013-10-24,891.3499755859375,897.4000244140625,882.2000122070312,889.7000122070312,852.156494140625,44960
2013-10-25,886.0,898.7000122070312,886.0,891.6500244140625,854.0240478515625,42161
2013-10-28,889.0,897.5,872.0,876.7000122070312,839.7049560546875,30896
2013-10-29,884.7000122070312,900.0,882.1500244140625,897.3499755859375,859.4835815429688,129111
2013-10-30,901.0,901.0,892.25,899.9000244140625,861.9259643554688,68513
2013-10-31,890.0,914.4500122070312,888.0,908.8499755859376,870.498291015625,187901
2013-11-01,911.7000122070312,917.3499755859376,890.0,893.4000244140625,855.700439453125,86555
2013-11-05,899.0499877929688,927.0,896.8499755859375,913.1500244140624,874.6168823242188,124874
2013-11-06,907.1500244140624,919.7000122070312,893.5499877929688,897.0999755859375,859.2442016601562,40227
2013-11-07,890.0999755859375,923.9000244140624,890.0999755859375,900.7000122070312,862.6922607421875,100571
2013-11-08,895.2999877929688,900.0,885.0999755859375,889.3499755859375,851.8211669921875,61710
2013-11-11,892.2999877929688,905.8499755859376,881.4000244140625,898.5,860.5851440429688,117935
2013-11-12,900.0,907.5,863.0499877929688,872.6500244140625,835.8259887695312,152570
2013-11-13,871.0,887.2000122070312,865.0,879.8499755859375,842.7221069335938,55546
2013-11-14,873.1500244140625,887.1500244140625,873.1500244140625,882.0999755859375,844.8770141601562,117390
2013-11-18,885.0,886.8499755859375,865.0,877.9500122070312,840.9022216796875,76503
2013-11-19,875.1500244140625,893.75,865.5,867.3499755859375,830.7495727539062,224019
2013-11-20,867.4000244140625,899.0,867.4000244140625,872.8499755859375,836.0174560546875,143166
2013-11-21,872.9500122070312,896.7999877929688,871.0,881.8499755859375,844.6376342773438,227085
2013-11-22,883.0499877929688,888.7999877929688,871.0999755859375,874.0499877929688,837.1668701171875,26733
2013-11-25,874.0499877929688,877.5499877929688,845.0999755859375,848.0999755859375,812.3119506835938,162320
2013-11-26,858.9500122070312,860.0,839.0,842.3499755859375,806.8043212890625,195260
2013-11-27,845.0499877929688,848.0,830.0499877929688,832.9500122070312,797.8011474609375,179401
2013-11-28,838.0,855.8499755859375,838.0,844.4000244140625,808.7681274414062,57199
2013-11-29,837.2000122070312,845.9000244140625,831.0999755859375,834.0999755859375,798.9027099609375,120079
2013-12-02,843.25,844.9000244140625,833.0,840.7999877929688,805.31982421875,178264
2013-12-03,842.5,851.2000122070312,840.0499877929688,846.4500122070312,810.7314453125,312036
